edition,year,venue,round,team 1,team 2,score,score_halftime
2012-POLAND/UKRAINE,2011,Skopje,QUALIFYING,Macedonia (Македонија),Ireland (Éire),0-2,0-2
2012-POLAND/UKRAINE,2011,Erevan,QUALIFYING,Armenia (Հայաստան),Macedonia (Македонија),4-1,2-0
2012-POLAND/UKRAINE,2011,Bruxelles,QUALIFYING,Belgium (België),Kazakhstan (Қазақстан),4-1,2-0
2012-POLAND/UKRAINE,2011,İstanbul,QUALIFYING,Turkey (Türkiye),Germany (Deutschland),1-3,0-1
2012-POLAND/UKRAINE,2011,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Austria (Österreich),1-4,0-1
2012-POLAND/UKRAINE,2011,Logroño,QUALIFYING,Spain (España),Liechtenstein,6-0,3-0
2012-POLAND/UKRAINE,2011,Glasgow,QUALIFYING,Scotland,Lithuania (Lietuva),1-0,0-0
2012-POLAND/UKRAINE,2011,København,QUALIFYING,Denmark (Danmark),Norway (Norge),2-0,2-0
2012-POLAND/UKRAINE,2011,Reykjavík,QUALIFYING,Iceland (Ísland),Cyprus (Κύπρος),1-0,1-0
2012-POLAND/UKRAINE,2011,Minsk,QUALIFYING,Belarus (Беларусь),Luxembourg (Lëtzebuerg),2-0,0-0
2012-POLAND/UKRAINE,2011,London,QUALIFYING,England,Wales (Cymru),1-0,1-0
2012-POLAND/UKRAINE,2010,Erevan,QUALIFYING,Armenia (Հայաստան),Slovakia (Slovensko),3-1,1-1
2012-POLAND/UKRAINE,2010,Astana,QUALIFYING,Kazakhstan (Қазақстан),Belgium (België),0-2,0-0
2012-POLAND/UKRAINE,2010,Berlin,QUALIFYING,Germany (Deutschland),Turkey (Türkiye),3-0,1-0
2012-POLAND/UKRAINE,2010,Wien,QUALIFYING,Austria (Österreich),Azerbaijan (Azərbaycan),3-0,1-0
2012-POLAND/UKRAINE,2011,Split,QUALIFYING,Croatia (Hrvatska),Georgia (საქართველო),2-1,0-1
2012-POLAND/UKRAINE,2011,Vaduz,QUALIFYING,Liechtenstein,Lithuania (Lietuva),2-0,2-0
2012-POLAND/UKRAINE,2011,Sankt-Peterburg,QUALIFYING,Russia (Россия),Armenia (Հայաստան),3-1,1-1
2012-POLAND/UKRAINE,2011,Bratislava,QUALIFYING,Slovakia (Slovensko),Andorra,1-0,0-0
2012-POLAND/UKRAINE,2010,Dublin,QUALIFYING,Ireland (Éire),Russia (Россия),2-3,0-2
2012-POLAND/UKRAINE,2011,Zenica,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Albania (Shqipëri),2-0,0-0
2012-POLAND/UKRAINE,2011,Kaunas,QUALIFYING,Lithuania (Lietuva),Czech Republic (Česká Republika),1-4,0-3
2012-POLAND/UKRAINE,2011,Stockholm,QUALIFYING,Sweden (Sverige),Finland (Suomi),5-0,3-0
2012-POLAND/UKRAINE,2011,Zenica,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Romania (România),2-1,0-1
2012-POLAND/UKRAINE,2011,Tbilisi,QUALIFYING,Georgia (საქართველო),Croatia (Hrvatska),1-0,0-0
2012-POLAND/UKRAINE,2011,Tel Avīv,QUALIFYING,Israel (ישראל),Latvia (Latvija),2-1,1-0
2012-POLAND/UKRAINE,2011,TaQali,QUALIFYING,Malta,Greece (Ελλάδα),0-1,0-0
2012-POLAND/UKRAINE,2011,Sofija,QUALIFYING,Bulgaria (България),Switzerland (Schweiz / Suisse),0-0,0-0
2012-POLAND/UKRAINE,2011,Cardiff,QUALIFYING,Wales (Cymru),England,0-2,0-2
2012-POLAND/UKRAINE,2011,Tiranë,QUALIFYING,Albania (Shqipëri),Belarus (Беларусь),1-0,0-0
2012-POLAND/UKRAINE,2011,Levkosía,QUALIFYING,Cyprus (Κύπρος),Iceland (Ísland),0-0,0-0
2012-POLAND/UKRAINE,2010,København,QUALIFYING,Denmark (Danmark),Iceland (Ísland),1-0,0-0
2012-POLAND/UKRAINE,2010,Oslo,QUALIFYING,Norway (Norge),Portugal,1-0,1-0
2012-POLAND/UKRAINE,2010,Basel,QUALIFYING,Switzerland (Schweiz / Suisse),England,1-3,0-1
2012-POLAND/UKRAINE,2010,Sofija,QUALIFYING,Bulgaria (България),Montenegro (Црна Гора),0-1,0-1
2012-POLAND/UKRAINE,2010,Zagreb,QUALIFYING,Croatia (Hrvatska),Greece (Ελλάδα),0-0,0-0
2012-POLAND/UKRAINE,2010,TaQali,QUALIFYING,Malta,Latvia (Latvija),0-2,0-1
2012-POLAND/UKRAINE,2010,Glasgow,QUALIFYING,Scotland,Liechtenstein,2-1,0-0
2012-POLAND/UKRAINE,2011,Serravalle,QUALIFYING,San Marino,Hungary (Magyarország),0-3,0-1
2012-POLAND/UKRAINE,2011,Erevan,QUALIFYING,Armenia (Հայաստան),Russia (Россия),0-0,0-0
2012-POLAND/UKRAINE,2011,Dublin,QUALIFYING,Ireland (Éire),Macedonia (Македонија),2-1,2-1
2012-POLAND/UKRAINE,2011,Belfast,QUALIFYING,Northern Ireland (Ulster),Faroe Islands (Føroyar),4-0,1-0
2012-POLAND/UKRAINE,2011,Gelsenkirchen,QUALIFYING,Germany (Deutschland),Austria (Österreich),6-2,3-1
2012-POLAND/UKRAINE,2011,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Belgium (België),1-1,0-0
2012-POLAND/UKRAINE,2011,Andorra la Vella,QUALIFYING,Andorra,Ireland (Éire),0-2,0-2
2012-POLAND/UKRAINE,2010,Olomouc,QUALIFYING,Czech Republic (Česká Republika),Lithuania (Lietuva),0-1,0-1
2012-POLAND/UKRAINE,2010,Helsinki,QUALIFYING,Finland (Suomi),San Marino,8-0,1-0
2012-POLAND/UKRAINE,2011,Andorra la Vella,QUALIFYING,Andorra,Slovakia (Slovensko),0-1,0-1
2012-POLAND/UKRAINE,2010,Zagreb,QUALIFYING,Croatia (Hrvatska),Malta,3-0,2-0
2012-POLAND/UKRAINE,2011,Ljubljana,QUALIFYING,Slovenia (Slovenija),Italy (Italia),0-1,0-0
2012-POLAND/UKRAINE,2011,Beograd,QUALIFYING,Serbia (Србија),Northern Ireland (Ulster),2-1,0-1
2012-POLAND/UKRAINE,2011,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),France,0-2,0-1
2012-POLAND/UKRAINE,2011,Budapest,QUALIFYING,Hungary (Magyarország),Netherlands (Nederland),0-4,0-2
2012-POLAND/UKRAINE,2011,Granada,QUALIFYING,Spain (España),Czech Republic (Česká Republika),2-1,0-1
2012-POLAND/UKRAINE,2011,Kaiserslautern,QUALIFYING,Germany (Deutschland),Kazakhstan (Қазақстан),4-0,3-0
2012-POLAND/UKRAINE,2011,Wien,QUALIFYING,Austria (Österreich),Belgium (België),0-2,0-1
2012-POLAND/UKRAINE,2011,Žilina,QUALIFYING,Slovakia (Slovensko),Russia (Россия),0-1,0-0
2012-POLAND/UKRAINE,2011,Beograd,QUALIFYING,Serbia (Србија),Italy (Italia),1-1,1-1
2012-POLAND/UKRAINE,2010,Tbilisi,QUALIFYING,Georgia (საქართველო),Israel (ישראל),0-0,0-0
2012-POLAND/UKRAINE,2011,Tbilisi,QUALIFYING,Georgia (საქართველო),Greece (Ελλάδα),1-2,1-0
2012-POLAND/UKRAINE,2011,Chişinău,QUALIFYING,Moldova,San Marino,4-0,1-0
2012-POLAND/UKRAINE,2011,Stockholm,QUALIFYING,Sweden (Sverige),Netherlands (Nederland),3-2,1-1
2012-POLAND/UKRAINE,2011,Budapest,QUALIFYING,Hungary (Magyarország),Finland (Suomi),0-0,0-0
2012-POLAND/UKRAINE,2011,Paris,QUALIFYING,France,Bosnia-Herzegovina (Bosna i Hercegovina),1-1,0-1
2012-POLAND/UKRAINE,2011,Tiranë,QUALIFYING,Albania (Shqipëri),Romania (România),1-1,1-0
2012-POLAND/UKRAINE,2011,Maribor,QUALIFYING,Slovenia (Slovenija),Serbia (Србија),1-0,1-0
2012-POLAND/UKRAINE,2011,Pescara,QUALIFYING,Italy (Italia),Northern Ireland (Ulster),3-0,1-0
2012-POLAND/UKRAINE,2011,Skopje,QUALIFYING,Macedonia (Македонија),Slovakia (Slovensko),1-1,0-0
2012-POLAND/UKRAINE,2011,Moskva,QUALIFYING,Russia (Россия),Andorra,6-0,4-0
2012-POLAND/UKRAINE,2011,Dublin,QUALIFYING,Ireland (Éire),Armenia (Հայաստան),2-1,1-0
2012-POLAND/UKRAINE,2011,İstanbul,QUALIFYING,Turkey (Türkiye),Azerbaijan (Azərbaycan),1-0,0-0
2012-POLAND/UKRAINE,2011,Düsseldorf,QUALIFYING,Germany (Deutschland),Belgium (België),3-1,2-0
2012-POLAND/UKRAINE,2011,Astana,QUALIFYING,Kazakhstan (Қазақстан),Austria (Österreich),0-0,0-0
2012-POLAND/UKRAINE,2011,Vaduz,QUALIFYING,Liechtenstein,Scotland,0-1,0-1
2012-POLAND/UKRAINE,2010,Andorra la Vella,QUALIFYING,Andorra,Macedonia (Македонија),0-2,0-1
2012-POLAND/UKRAINE,2011,Praha,QUALIFYING,Czech Republic (Česká Republika),Spain (España),0-2,0-2
2012-POLAND/UKRAINE,2010,Belfast,QUALIFYING,Northern Ireland (Ulster),Italy (Italia),0-0,0-0
2012-POLAND/UKRAINE,2010,Ljubljana,QUALIFYING,Slovenia (Slovenija),Faroe Islands (Føroyar),5-1,2-0
2012-POLAND/UKRAINE,2010,Bruxelles,QUALIFYING,Belgium (België),Austria (Österreich),4-4,1-2
2012-POLAND/UKRAINE,2010,Tel Avīv,QUALIFYING,Israel (ישראל),Croatia (Hrvatska),1-2,0-2
2012-POLAND/UKRAINE,2010,Paris,QUALIFYING,France,Romania (România),2-0,0-0
2012-POLAND/UKRAINE,2010,Salamanca,QUALIFYING,Spain (España),Lithuania (Lietuva),3-1,0-0
2012-POLAND/UKRAINE,2010,Praha,QUALIFYING,Czech Republic (Česká Republika),Scotland,1-0,0-0
2012-POLAND/UKRAINE,2010,Lárnax,QUALIFYING,Cyprus (Κύπρος),Norway (Norge),1-2,0-2
2012-POLAND/UKRAINE,2010,Porto,QUALIFYING,Portugal,Denmark (Danmark),3-1,2-0
2012-POLAND/UKRAINE,2010,Podgorica,QUALIFYING,Montenegro (Црна Гора),Switzerland (Schweiz / Suisse),1-0,0-0
2012-POLAND/UKRAINE,2010,Cardiff,QUALIFYING,Wales (Cymru),Bulgaria (България),0-1,0-0
2012-POLAND/UKRAINE,2010,Tbilisi,QUALIFYING,Georgia (საქართველო),Malta,1-0,0-0
2012-POLAND/UKRAINE,2010,Athína,QUALIFYING,Greece (Ελλάδα),Latvia (Latvija),1-0,0-0
2012-POLAND/UKRAINE,2010,Chişinău,QUALIFYING,Moldova,Netherlands (Nederland),0-1,0-1
2012-POLAND/UKRAINE,2010,Budapest,QUALIFYING,Hungary (Magyarország),San Marino,8-0,4-0
2012-POLAND/UKRAINE,2010,Tiranë,QUALIFYING,Albania (Shqipëri),Bosnia-Herzegovina (Bosna i Hercegovina),1-1,1-1
2012-POLAND/UKRAINE,2010,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Belarus (Беларусь),0-0,0-0
2012-POLAND/UKRAINE,2010,Beograd,QUALIFYING,Serbia (Србија),Estonia (Eesti),1-3,0-0
2012-POLAND/UKRAINE,2011,Levkosía,QUALIFYING,Cyprus (Κύπρος),Denmark (Danmark),1-4,1-4
2012-POLAND/UKRAINE,2011,Porto,QUALIFYING,Portugal,Iceland (Ísland),5-3,3-0
2012-POLAND/UKRAINE,2011,Swansea,QUALIFYING,Wales (Cymru),Switzerland (Schweiz / Suisse),2-0,0-0
2012-POLAND/UKRAINE,2011,Toftír,QUALIFYING,Faroe Islands (Føroyar),Slovenia (Slovenija),0-2,0-1
2012-POLAND/UKRAINE,2011,Bruxelles,QUALIFYING,Belgium (België),Turkey (Türkiye),1-1,1-1
2012-POLAND/UKRAINE,2011,Astana,QUALIFYING,Kazakhstan (Қазақстан),Azerbaijan (Azərbaycan),2-1,0-0
2012-POLAND/UKRAINE,2011,Wien,QUALIFYING,Austria (Österreich),Germany (Deutschland),1-2,0-1
2012-POLAND/UKRAINE,2011,Kaunas,QUALIFYING,Lithuania (Lietuva),Spain (España),1-3,0-1
2012-POLAND/UKRAINE,2011,České Budějovice,QUALIFYING,Czech Republic (Česká Republika),Liechtenstein,2-0,1-0
2012-POLAND/UKRAINE,2011,Tel Avīv,QUALIFYING,Israel (ישראל),Georgia (საქართველო),1-0,0-0
2012-POLAND/UKRAINE,2011,Stockholm,QUALIFYING,Sweden (Sverige),Moldova,2-1,1-0
2012-POLAND/UKRAINE,2011,Amsterdam,QUALIFYING,Netherlands (Nederland),Hungary (Magyarország),5-3,1-0
2012-POLAND/UKRAINE,2011,Piatra-Neamţ,QUALIFYING,Romania (România),Luxembourg (Lëtzebuerg),3-1,1-1
2012-POLAND/UKRAINE,2011,Tallinn,QUALIFYING,Estonia (Eesti),Serbia (Србија),1-1,0-1
2012-POLAND/UKRAINE,2011,Belfast,QUALIFYING,Northern Ireland (Ulster),Slovenia (Slovenija),0-0,0-0
2012-POLAND/UKRAINE,2011,Bruxelles,QUALIFYING,Belgium (België),Azerbaijan (Azərbaycan),4-1,3-1
2012-POLAND/UKRAINE,2011,İstanbul,QUALIFYING,Turkey (Türkiye),Austria (Österreich),2-0,1-0
2012-POLAND/UKRAINE,2011,Oslo,QUALIFYING,Norway (Norge),Denmark (Danmark),1-1,0-1
2012-POLAND/UKRAINE,2011,Modena,QUALIFYING,Italy (Italia),Estonia (Eesti),3-0,2-0
2012-POLAND/UKRAINE,2011,Bucureşti,QUALIFYING,Romania (România),Bosnia-Herzegovina (Bosna i Hercegovina),3-0,2-0
2012-POLAND/UKRAINE,2011,Minsk,QUALIFYING,Belarus (Беларусь),France,1-1,1-1
2012-POLAND/UKRAINE,2011,Serravalle,QUALIFYING,San Marino,Finland (Suomi),0-1,0-1
2012-POLAND/UKRAINE,2011,Podgorica,QUALIFYING,Montenegro (Црна Гора),England,2-2,1-2
2012-POLAND/UKRAINE,2011,Rīga,QUALIFYING,Latvia (Latvija),Malta,2-0,1-0
2012-POLAND/UKRAINE,2011,Athína,QUALIFYING,Greece (Ελλάδα),Croatia (Hrvatska),2-0,0-0
2012-POLAND/UKRAINE,2011,Rotterdam,QUALIFYING,Netherlands (Nederland),Moldova,1-0,1-0
2012-POLAND/UKRAINE,2011,Helsinki,QUALIFYING,Finland (Suomi),Sweden (Sverige),1-2,0-1
2012-POLAND/UKRAINE,2011,Paris,QUALIFYING,France,Albania (Shqipëri),3-0,2-0
2012-POLAND/UKRAINE,2011,Bucureşti,QUALIFYING,Romania (România),Belarus (Беларусь),2-2,1-1
2012-POLAND/UKRAINE,2011,Belfast,QUALIFYING,Northern Ireland (Ulster),Estonia (Eesti),1-2,1-0
2012-POLAND/UKRAINE,2011,Zenica,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Luxembourg (Lëtzebuerg),5-0,4-0
2012-POLAND/UKRAINE,2012,Warszawa,FS_1/2_FINAL,Germany (Deutschland),Italy (Italia),1-2,0-2
2012-POLAND/UKRAINE,2012,Donetsk,FS_1/2_FINAL,Portugal,Spain (España),0-0,0-0
2012-POLAND/UKRAINE,2012,Kyïv,FS_1/4_FINAL,England,Italy (Italia),0-0,0-0
2012-POLAND/UKRAINE,2012,Donetsk,FS_1/4_FINAL,Spain (España),France,2-0,1-0
2012-POLAND/UKRAINE,2012,Gdańsk,FS_1/4_FINAL,Germany (Deutschland),Greece (Ελλάδα),4-2,1-0
2012-POLAND/UKRAINE,2012,Warszawa,FS_1/4_FINAL,Czech Republic (Česká Republika),Portugal,0-1,0-0
2012-POLAND/UKRAINE,2011,Chişinău,QUALIFYING,Moldova,Sweden (Sverige),1-4,0-2
2012-POLAND/UKRAINE,2012,Kyïv,FS_FINAL,Spain (España),Italy (Italia),4-0,2-0
2012-POLAND/UKRAINE,2010,Malmö,QUALIFYING,Sweden (Sverige),San Marino,6-0,3-0
2012-POLAND/UKRAINE,2010,Vaduz,QUALIFYING,Liechtenstein,Czech Republic (Česká Republika),0-2,0-2
2012-POLAND/UKRAINE,2010,Budapest,QUALIFYING,Hungary (Magyarország),Moldova,2-1,0-0
2012-POLAND/UKRAINE,2011,Zenica,ADD._QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Portugal,0-0,0-0
2012-POLAND/UKRAINE,2011,Zagreb,ADD._QUALIFYING,Croatia (Hrvatska),Turkey (Türkiye),0-0,0-0
2012-POLAND/UKRAINE,2011,Dublin,ADD._QUALIFYING,Ireland (Éire),Estonia (Eesti),1-1,1-0
2012-POLAND/UKRAINE,2011,Podgorica,ADD._QUALIFYING,Montenegro (Црна Гора),Czech Republic (Česká Republika),0-1,0-0
2012-POLAND/UKRAINE,2011,Lisboa,ADD._QUALIFYING,Portugal,Bosnia-Herzegovina (Bosna i Hercegovina),6-2,2-1
2012-POLAND/UKRAINE,2012,Warszawa,FS_GROUP_STAGE,Poland (Polska),Greece (Ελλάδα),1-1,1-0
2012-POLAND/UKRAINE,2012,Wrocław,FS_GROUP_STAGE,Russia (Россия),Czech Republic (Česká Republika),4-1,2-0
2012-POLAND/UKRAINE,2012,Kharkïv,FS_GROUP_STAGE,Netherlands (Nederland),Denmark (Danmark),0-1,0-1
2012-POLAND/UKRAINE,2011,Moskva,QUALIFYING,Russia (Россия),Ireland (Éire),0-0,0-0
2012-POLAND/UKRAINE,2011,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Kazakhstan (Қазақстан),3-2,0-1
2012-POLAND/UKRAINE,2011,Wien,QUALIFYING,Austria (Österreich),Turkey (Türkiye),0-0,0-0
2012-POLAND/UKRAINE,2011,Glasgow,QUALIFYING,Scotland,Czech Republic (Česká Republika),2-2,1-0
2012-POLAND/UKRAINE,2011,Kaunas,QUALIFYING,Lithuania (Lietuva),Liechtenstein,0-0,0-0
2012-POLAND/UKRAINE,2012,Gdańsk,FS_GROUP_STAGE,Spain (España),Italy (Italia),1-1,0-0
2012-POLAND/UKRAINE,2012,Poznań,FS_GROUP_STAGE,Ireland (Éire),Croatia (Hrvatska),1-3,1-2
2012-POLAND/UKRAINE,2012,Donetsk,FS_GROUP_STAGE,France,England,1-1,1-1
2012-POLAND/UKRAINE,2012,Kyïv,FS_GROUP_STAGE,Ukraine (Україна),Sweden (Sverige),2-1,0-0
2012-POLAND/UKRAINE,2010,Rotterdam,QUALIFYING,Netherlands (Nederland),Finland (Suomi),2-1,2-1
2012-POLAND/UKRAINE,2012,Gdańsk,FS_GROUP_STAGE,Croatia (Hrvatska),Spain (España),0-1,0-0
2012-POLAND/UKRAINE,2012,Lvïv,FS_GROUP_STAGE,Denmark (Danmark),Germany (Deutschland),1-2,1-1
2012-POLAND/UKRAINE,2012,Kharkïv,FS_GROUP_STAGE,Portugal,Netherlands (Nederland),2-1,1-1
2012-POLAND/UKRAINE,2012,Wrocław,FS_GROUP_STAGE,Czech Republic (Česká Republika),Poland (Polska),1-0,0-0
2012-POLAND/UKRAINE,2012,Warszawa,FS_GROUP_STAGE,Greece (Ελλάδα),Russia (Россия),1-0,1-0
2012-POLAND/UKRAINE,2011,Praha,ADD._QUALIFYING,Czech Republic (Česká Republika),Montenegro (Црна Гора),2-0,0-0
2012-POLAND/UKRAINE,2012,Donetsk,FS_GROUP_STAGE,Sweden (Sverige),England,2-3,0-1
2012-POLAND/UKRAINE,2012,Gdańsk,FS_GROUP_STAGE,Spain (España),Ireland (Éire),4-0,1-0
2012-POLAND/UKRAINE,2012,Poznań,FS_GROUP_STAGE,Italy (Italia),Croatia (Hrvatska),1-1,1-0
2012-POLAND/UKRAINE,2012,Kharkïv,FS_GROUP_STAGE,Netherlands (Nederland),Germany (Deutschland),1-2,0-2
2012-POLAND/UKRAINE,2012,Lvïv,FS_GROUP_STAGE,Denmark (Danmark),Portugal,2-3,1-2
2012-POLAND/UKRAINE,2012,Warszawa,FS_GROUP_STAGE,Poland (Polska),Russia (Россия),1-1,0-1
2012-POLAND/UKRAINE,2012,Wrocław,FS_GROUP_STAGE,Greece (Ελλάδα),Czech Republic (Česká Republika),1-2,0-2
2012-POLAND/UKRAINE,2012,Kyïv,FS_GROUP_STAGE,Ukraine (Україна),France,0-2,0-0
2012-POLAND/UKRAINE,2011,Tallinn,ADD._QUALIFYING,Estonia (Eesti),Ireland (Éire),0-4,0-1
2012-POLAND/UKRAINE,2010,Tallinn,QUALIFYING,Estonia (Eesti),Faroe Islands (Føroyar),2-1,0-1
2012-POLAND/UKRAINE,2010,Tel Avīv,QUALIFYING,Israel (ישראל),Malta,3-1,1-1
2012-POLAND/UKRAINE,2011,Zagreb,QUALIFYING,Croatia (Hrvatska),Israel (ישראל),3-1,0-1
2012-POLAND/UKRAINE,2011,Basel,QUALIFYING,Switzerland (Schweiz / Suisse),Bulgaria (България),3-1,1-1
2012-POLAND/UKRAINE,2010,Tallinn,QUALIFYING,Estonia (Eesti),Italy (Italia),1-2,1-0
2012-POLAND/UKRAINE,2010,Tórshavn,QUALIFYING,Faroe Islands (Føroyar),Serbia (Србија),0-3,0-2
2012-POLAND/UKRAINE,2010,Maribor,QUALIFYING,Slovenia (Slovenija),Northern Ireland (Ulster),0-1,0-0
2012-POLAND/UKRAINE,2010,Piatra-Neamţ,QUALIFYING,Romania (România),Albania (Shqipëri),1-1,0-0
2012-POLAND/UKRAINE,2011,Rīga,QUALIFYING,Latvia (Latvija),Greece (Ελλάδα),1-1,1-0
2012-POLAND/UKRAINE,2010,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Bosnia-Herzegovina (Bosna i Hercegovina),0-3,0-3
2012-POLAND/UKRAINE,2011,Rijeka,QUALIFYING,Croatia (Hrvatska),Latvia (Latvija),2-0,0-0
2012-POLAND/UKRAINE,2011,Basel,QUALIFYING,Switzerland (Schweiz / Suisse),Montenegro (Црна Гора),2-0,0-0
2012-POLAND/UKRAINE,2011,Sofija,QUALIFYING,Bulgaria (България),Wales (Cymru),0-1,0-1
2012-POLAND/UKRAINE,2011,Oslo,QUALIFYING,Norway (Norge),Cyprus (Κύπρος),3-1,2-1
2012-POLAND/UKRAINE,2011,København,QUALIFYING,Denmark (Danmark),Portugal,2-1,1-0
2012-POLAND/UKRAINE,2011,Alicante,QUALIFYING,Spain (España),Scotland,3-1,2-0
2012-POLAND/UKRAINE,2011,TaQali,QUALIFYING,Malta,Israel (ישראל),0-2,0-1
2012-POLAND/UKRAINE,2012,Donetsk,FS_GROUP_STAGE,England,Ukraine (Україна),1-0,0-0
2012-POLAND/UKRAINE,2011,TaQali,QUALIFYING,Malta,Georgia (საქართველო),1-1,1-1
2012-POLAND/UKRAINE,2011,Serravalle,QUALIFYING,San Marino,Sweden (Sverige),0-5,0-0
2012-POLAND/UKRAINE,2010,Bruxelles,QUALIFYING,Belgium (België),Germany (Deutschland),0-1,0-0
2012-POLAND/UKRAINE,2010,Astana,QUALIFYING,Kazakhstan (Қазақстан),Turkey (Türkiye),0-3,0-2
2012-POLAND/UKRAINE,2010,Erevan,QUALIFYING,Armenia (Հայաստան),Ireland (Éire),0-1,0-0
2012-POLAND/UKRAINE,2010,Andorra la Vella,QUALIFYING,Andorra,Russia (Россия),0-2,0-1
2012-POLAND/UKRAINE,2010,Bratislava,QUALIFYING,Slovakia (Slovensko),Macedonia (Македонија),1-0,0-0
2012-POLAND/UKRAINE,2011,Žilina,QUALIFYING,Slovakia (Slovensko),Armenia (Հայաստան),0-4,0-0
2012-POLAND/UKRAINE,2011,Chişinău,QUALIFYING,Moldova,Hungary (Magyarország),0-2,0-1
2012-POLAND/UKRAINE,2011,Skopje,QUALIFYING,Macedonia (Македонија),Andorra,1-0,0-0
2012-POLAND/UKRAINE,2011,Beograd,QUALIFYING,Serbia (Србија),Faroe Islands (Føroyar),3-1,2-1
2012-POLAND/UKRAINE,2011,Tallinn,QUALIFYING,Estonia (Eesti),Northern Ireland (Ulster),4-1,2-1
2012-POLAND/UKRAINE,2011,Bucureşti,QUALIFYING,Romania (România),France,0-0,0-0
2012-POLAND/UKRAINE,2011,Zenica,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Belarus (Беларусь),1-0,0-0
2012-POLAND/UKRAINE,2011,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Albania (Shqipëri),2-1,1-0
2012-POLAND/UKRAINE,2011,Helsinki,QUALIFYING,Finland (Suomi),Netherlands (Nederland),0-2,0-1
2012-POLAND/UKRAINE,2011,Firenze,QUALIFYING,Italy (Italia),Slovenia (Slovenija),1-0,0-0
2012-POLAND/UKRAINE,2012,Kyïv,FS_GROUP_STAGE,Sweden (Sverige),France,2-0,0-0
2012-POLAND/UKRAINE,2012,Poznań,FS_GROUP_STAGE,Italy (Italia),Ireland (Éire),2-0,1-0
2012-POLAND/UKRAINE,2010,Stockholm,QUALIFYING,Sweden (Sverige),Hungary (Magyarország),2-0,0-0
2012-POLAND/UKRAINE,2011,Cardiff,QUALIFYING,Wales (Cymru),Montenegro (Црна Гора),2-1,1-0
2012-POLAND/UKRAINE,2011,Levkosía,QUALIFYING,Cyprus (Κύπρος),Portugal,0-4,0-1
2012-POLAND/UKRAINE,2011,Oslo,QUALIFYING,Norway (Norge),Iceland (Ísland),1-0,0-0
2012-POLAND/UKRAINE,2010,Paris,QUALIFYING,France,Belarus (Беларусь),0-1,0-0
2012-POLAND/UKRAINE,2010,Beograd,QUALIFYING,Serbia (Србија),Slovenia (Slovenija),1-1,0-0
2012-POLAND/UKRAINE,2012,Lvïv,FS_GROUP_STAGE,Germany (Deutschland),Portugal,1-0,0-0
2012-POLAND/UKRAINE,2010,Tiranë,QUALIFYING,Albania (Shqipëri),Luxembourg (Lëtzebuerg),1-0,1-0
2012-POLAND/UKRAINE,2010,Astana,QUALIFYING,Kazakhstan (Қазақстан),Germany (Deutschland),0-3,0-0
2012-POLAND/UKRAINE,2010,Erevan,QUALIFYING,Armenia (Հայաստան),Andorra,4-0,3-0
2012-POLAND/UKRAINE,2010,Žilina,QUALIFYING,Slovakia (Slovensko),Ireland (Éire),1-1,1-1
2012-POLAND/UKRAINE,2010,Skopje,QUALIFYING,Macedonia (Македонија),Russia (Россия),0-1,0-1
2012-POLAND/UKRAINE,2010,Genova,QUALIFYING,Italy (Italia),Serbia (Србија),3-0,w.o.
2012-POLAND/UKRAINE,2010,Toftír,QUALIFYING,Faroe Islands (Føroyar),Northern Ireland (Ulster),1-1,0-0
2012-POLAND/UKRAINE,2010,Tallinn,QUALIFYING,Estonia (Eesti),Slovenia (Slovenija),0-1,0-0
2012-POLAND/UKRAINE,2010,Metz,QUALIFYING,France,Luxembourg (Lëtzebuerg),2-0,1-0
2012-POLAND/UKRAINE,2010,Minsk,QUALIFYING,Belarus (Беларусь),Albania (Shqipëri),2-0,1-0
2012-POLAND/UKRAINE,2010,Amsterdam,QUALIFYING,Netherlands (Nederland),Sweden (Sverige),4-1,2-0
2012-POLAND/UKRAINE,2010,Helsinki,QUALIFYING,Finland (Suomi),Hungary (Magyarország),1-2,0-0
2012-POLAND/UKRAINE,2010,Serravalle,QUALIFYING,San Marino,Moldova,0-2,0-1
2012-POLAND/UKRAINE,2010,Athína,QUALIFYING,Greece (Ελλάδα),Israel (ישראל),2-1,1-0
2012-POLAND/UKRAINE,2010,Rīga,QUALIFYING,Latvia (Latvija),Georgia (საქართველო),1-1,0-0
2012-POLAND/UKRAINE,2010,London,QUALIFYING,England,Montenegro (Црна Гора),0-0,0-0
2012-POLAND/UKRAINE,2010,Basel,QUALIFYING,Switzerland (Schweiz / Suisse),Wales (Cymru),4-1,2-1
2012-POLAND/UKRAINE,2010,Reykjavík,QUALIFYING,Iceland (Ísland),Portugal,1-3,1-2
